Date,gross_ret,net_ret,turnover,pos,gross_eq,net_eq
2011-05-24,0.0036629190847945283,0.0036629190847945283,0.0,1.0,2.496143860893013,2.141001230087428
2011-05-25,0.0071703813690630145,0.0071703813690630145,0.0,1.0,2.5140421643276616,2.156353025418788
2011-05-26,0.006024099089569662,0.006024099089569662,0.0,1.0,2.529187003440928,2.1693431097160043
2011-05-27,0.004708534899000212,0.004708534899000212,0.0,1.0,2.541095768712727,2.1795575374560077
2011-05-31,0.00571538659340819,0.00571538659340819,0.0,1.0,2.555619113401794,2.1920145513851454
2011-06-01,-0.014028637539109544,-0.014028637539109544,0.0,1.0,2.5197672591718594,2.1612635737633092
2011-06-02,0.004073832570446181,0.004073832570446181,0.0,1.0,2.5300323691022175,2.170068199703425
2011-06-03,-0.0034125498807267922,-0.0034125498807267922,0.0,1.0,2.521398507442803,2.162662733727358
2011-06-06,-0.006041823326233023,-0.006041823326233023,0.0,1.0,2.506164663125806,2.149596307575949
2011-06-07,0.0013269304376933022,0.0013269304376933022,0.0,1.0,2.5094901692991787,2.1524486723452245
2011-06-08,-0.005732993185100769,-0.005732993185100769,0.0,1.0,2.4951032792605092,2.14010869877539
2011-06-09,0.007286313541553939,0.007286313541553939,0.0,1.0,2.5132833840717606,2.155702201767675
2011-06-10,-0.00848407880669913,-0.00848407880669913,0.0,1.0,2.4919604897777283,2.137413054404103
2011-06-13,-0.005518251010813426,-0.005518251010813426,0.0,1.0,2.4782092262861055,2.1256182726561117
2011-06-14,0.007309154421177724,0.007309154421177724,0.0,1.0,2.4963228402090176,2.141154744851432
2011-06-15,-0.01072866575362505,-0.01072866575362505,0.0,1.0,2.469540626843275,2.1181830112671323
2011-06-16,0.0,-0.0005,0.5,0.0,2.469540626843275,2.117123919761499
2011-06-17,0.0,0.0,0.0,0.0,2.469540626843275,2.117123919761499
2011-06-20,0.0,0.0,0.0,0.0,2.469540626843275,2.117123919761499
2011-06-21,0.0,0.0,0.0,0.0,2.469540626843275,2.117123919761499
2011-06-22,0.0,0.0,0.0,0.0,2.469540626843275,2.117123919761499
2011-06-23,0.0,0.0,0.0,0.0,2.469540626843275,2.117123919761499
2011-06-24,0.0,0.0,0.0,0.0,2.469540626843275,2.117123919761499
2011-06-27,0.0,0.0,0.0,0.0,2.469540626843275,2.117123919761499
2011-06-28,0.0,0.0,0.0,0.0,2.469540626843275,2.117123919761499
2011-06-29,0.0,0.0,0.0,0.0,2.469540626843275,2.117123919761499
2011-06-30,0.0,0.0,0.0,0.0,2.469540626843275,2.117123919761499
2011-07-01,0.0,0.0,0.0,0.0,2.469540626843275,2.117123919761499
2011-07-05,0.0,0.0,0.0,0.0,2.469540626843275,2.117123919761499
